code;ratingc;e;d;c;b;a;resc
5497;D;4;0;0;0;0;0
3069;C;6;13;0;0;0;0
2483;D;0;0;0;0;0;0
10180;E;0;0;0;0;0;0
2632;E;0;0;0;0;0;0
1213;C;0;12;0;0;0;0
8761;E;0;0;0;0;0;0
3983;A;0;0;4;12;0;0
5409;D;6;0;0;0;0;0
277;D;0;0;0;0;0;0
6760;E;0;0;0;0;0;0
9937;D;5;0;0;0;0;0
2190;C;0;14;0;0;0;0
9434;D;6;0;0;0;0;0
5236;E;0;0;0;0;0;0
4924;D;7;0;0;0;0;0
6587;D;4;0;0;0;0;0
1478;C;0;0;5;0;0;5
7127;D;4;0;0;0;0;0
2600;D;0;0;0;0;0;0
8090;B;0;0;13;0;0;0
2750;D;0;3;0;0;0;3
8409;E;0;0;0;0;0;0
5327;E;0;0;0;0;0;0
2022;D;0;5;0;0;0;5
2613;C;0;14;0;0;0;0
3254;C;0;13;0;0;0;0
7695;D;4;0;0;0;0;0
9342;D;5;0;0;0;0;0
2033;C;0;0;0;0;0;0
11238;E;2;0;0;0;0;6
7397;E;0;0;0;0;0;0
2855;D;0;9;0;0;0;9
8685;D;4;0;0;0;0;0
9574;D;4;9;0;0;0;9
7202;D;4;0;0;0;0;0
9562;D;4;9;0;0;0;9
1064;D;0;2;0;0;0;2
4804;B;0;12;14;1;0;1
5997;E;0;0;0;0;0;0
9833;D;6;0;0;0;0;0
4665;E;0;0;0;0;0;0
6347;E;1;0;0;0;0;3
4312;D;4;0;0;0;0;0
4306;D;5;0;0;0;0;0
5010;D;4;0;0;0;0;0
758;B;0;0;15;9;0;9
5584;D;7;0;0;0;0;0
9160;C;5;13;1;0;0;1
3718;E;0;0;0;0;0;0
1286;C;0;0;0;0;0;0
3773;E;0;0;0;0;0;0
1923;D;0;0;0;0;0;0
11129;D;6;0;0;0;0;0
1734;D;0;0;0;0;0;0
6054;D;5;0;0;0;0;0
1012;D;0;8;0;0;0;8
10646;D;4;0;0;0;0;0
11184;E;0;0;0;0;0;0
6778;D;7;0;0;0;0;0
6048;E;0;0;0;0;0;0
1463;C;0;13;0;0;0;0
116;D;0;0;0;0;0;0
7097;D;5;0;0;0;0;0
11669;E;0;0;0;0;0;0
11351;E;0;0;0;0;0;0
11180;E;0;0;0;0;0;0
8041;E;0;0;0;0;0;0
10675;D;5;0;0;0;0;0
8324;D;5;0;0;0;0;0
5272;E;3;0;0;0;0;9
10244;E;0;0;0;0;0;0
4157;D;4;0;0;0;0;0
6123;D;7;2;0;0;0;2
8969;C;5;12;0;0;0;0
9041;E;3;0;0;0;0;9
5508;E;0;0;0;0;0;0
1425;C;0;0;0;0;0;0
6124;D;4;0;0;0;0;0
4147;E;0;0;0;0;0;0
759;D;0;0;0;0;0;0
7925;E;0;0;0;0;0;0
5225;D;6;0;0;0;0;0
11164;D;4;0;0;0;0;0
9594;E;0;0;0;0;0;0
2184;B;0;2;12;2;0;2
3319;D;4;7;0;0;0;7
5671;E;0;0;0;0;0;0
11684;E;0;0;0;0;0;0
995;A;0;4;9;14;0;0
9310;E;0;0;0;0;0;0
8504;E;0;0;0;0;0;0
1692;B;0;0;12;0;0;0
4776;E;1;0;0;0;0;3
10683;E;1;0;0;0;0;3
5986;D;0;2;0;0;0;2
9254;D;7;11;0;0;0;11
5770;E;2;0;0;0;0;6
6125;D;4;0;0;0;0;0
8617;E;0;0;0;0;0;0
6644;E;2;0;0;0;0;6
6126;D;6;0;0;0;0;0
2608;D;0;0;0;0;0;0
2220;D;0;0;0;0;0;0
2397;D;0;0;0;0;0;0
8678;E;3;0;0;0;0;9
8513;E;0;0;0;0;0;0
10827;E;0;0;0;0;0;0
6538;D;4;0;0;0;0;0
2226;C;0;10;4;0;0;4
6127;E;0;0;0;0;0;0
6018;D;0;0;0;0;0;0
7252;E;3;0;0;0;0;9
3877;D;3;5;0;0;0;5
4436;E;0;0;0;0;0;0
9903;E;1;0;0;0;0;3
6940;D;7;0;0;0;0;0
6694;E;0;0;0;0;0;0
6840;E;0;0;0;0;0;0
10008;E;0;0;0;0;0;0
4246;E;2;0;0;0;0;6
8615;C;7;14;0;0;0;0
3228;D;4;0;0;0;0;0
2293;D;0;1;0;0;0;1
2620;D;0;0;0;0;0;0
11368;E;0;0;0;0;0;0
2257;C;0;13;0;0;0;0
10794;E;0;0;0;0;0;0
1385;D;0;0;0;0;0;0
5306;D;4;2;0;0;0;2
6584;D;0;11;0;0;0;11
5883;D;4;0;0;0;0;0
2805;E;0;0;0;0;0;0
5719;E;0;0;0;0;0;0
9648;E;1;0;0;0;0;3
9689;D;6;0;0;0;0;0
9711;D;6;3;0;0;0;3
9918;E;2;0;0;0;0;6
9384;E;0;0;0;0;0;0
8947;E;0;0;0;0;0;0
2080;D;0;0;0;0;0;0
10565;E;0;0;0;0;0;0
10178;E;0;0;0;0;0;0
1698;D;0;2;0;0;0;2
8259;D;4;0;0;0;0;0
8174;E;0;0;0;0;0;0
10374;E;0;0;0;0;0;0
9060;E;0;0;0;0;0;0
8537;E;3;0;0;0;0;9
11309;E;0;0;0;0;0;0
5057;D;6;0;0;0;0;0
9392;E;0;0;0;0;0;0
8917;D;5;0;0;0;0;0
3396;D;6;2;0;0;0;2
8340;D;7;0;0;0;0;0
10020;E;2;0;0;0;0;6
3460;E;0;0;0;0;0;0
11477;E;0;0;0;0;0;0
1874;D;0;0;0;0;0;0
1970;D;0;1;1;0;0;3
1224;D;0;0;0;0;0;0
7442;D;4;0;0;0;0;0
11673;D;5;0;0;0;0;0
9771;D;6;3;0;0;0;3
7383;E;0;0;0;0;0;0
5217;D;4;0;0;0;0;0
4474;E;1;0;0;0;0;3
3681;E;2;0;0;0;0;6
8003;E;0;0;0;0;0;0
7454;D;4;0;0;0;0;0
4433;E;0;0;0;0;0;0
11243;E;0;0;0;0;0;0
9266;E;0;0;0;0;0;0
5417;E;0;0;0;0;0;0
11005;E;0;0;0;0;0;0
4277;B;3;1;12;0;0;0
10371;E;0;0;0;0;0;0
6942;E;0;0;0;0;0;0
11530;E;0;0;0;0;0;0
8012;E;0;0;0;0;0;0
11324;E;0;0;0;0;0;0
2503;D;0;5;0;0;0;5
9811;E;0;0;0;0;0;0
760;D;0;0;0;0;0;0
1237;D;0;0;0;0;0;0
8881;D;7;0;0;0;0;0
6992;E;0;0;0;0;0;0
7962;D;4;0;0;0;0;0
